Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-09-09 00:21:48,00:00:04,Autoplayed: user action: None; ,Chilling Adventures of Sabrina: Part 1 Podular: STRAIGHTFORWARD / Drama - Fantasy - Horror,TRAILER,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-09-09 00:21:28,00:00:08,Autoplayed: user action: None; ,Snatch_hook_primary_16x9,HOOK,Sony PS5,00:00:08,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:21:13,00:00:58,,"House, M.D.: Season 1_hook_primary_16x9",HOOK,Sony PS5,00:00:58,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:18:54,00:02:16,,Part 1 Trailer: Lupin,TRAILER,Sony PS5,00:02:16,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:16:38,00:02:14,,Stranger Things 1 (Trailer),TRAILER,Sony PS5,00:02:14,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:14:53,00:01:43,,Disenchantment: Part 1 (Trailer),TRAILER,Sony PS5,00:01:43,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:12:50,00:02:00,,Limited Series Trailer: The Perfect Couple,TRAILER,Sony PS5,00:02:00,00:02:00,TR (Turkey)
Batuhan,2024-09-08 05:11:53,00:00:55,,Suits: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:55,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:11:12,00:00:39,,Dexter: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:39,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:10:10,00:00:59,,Vikings: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:59,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:08:04,00:02:04,,Season 1 Trailer: The Witcher,TRAILER,Sony PS5,00:02:04,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:07:30,00:00:32,,Rick and Morty: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:32,00:00:32,TR (Turkey)
Batuhan,2024-09-08 05:05:27,00:02:00,,Trailer: Rebel Ridge,TRAILER,Sony PS5,00:02:00,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:03:29,00:01:55,,Season 1 Trailer: The Umbrella Academy,TRAILER,Sony PS5,00:01:55,Not latest view,TR (Turkey)
Batuhan,2024-09-08 05:01:14,00:02:13,,Season 1 Trailer: Avatar The Last Airbender,TRAILER,Sony PS5,00:02:13,Not latest view,TR (Turkey)
Batuhan,2024-09-08 04:59:44,00:01:28,,Prison Break: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:01:28,Not latest view,TR (Turkey)
Batuhan,2024-09-08 04:58:42,00:01:00,Autoplayed: user action: None; ,Breaking Bad: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:01:00,Not latest view,TR (Turkey)
Batuhan,2024-09-08 02:44:55,02:11:29,Autoplayed: user action: User_Interaction; ,The Amazing Spider-Man,,Sony PS5,02:11:29,02:11:29,TR (Turkey)
Batuhan,2024-09-07 23:48:56,01:53:25,,Spider-Man: Into the Spider-Verse,,Sony PS5,01:45:38,01:45:38,TR (Turkey)
Batuhan,2024-09-07 23:43:24,00:00:04,Autoplayed: user action: None; ,Supporting Character Clip: The Union,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-09-07 23:43:04,00:00:13,Autoplayed: user action: None; ,Gemini Man_hook_primary_16x9,HOOK,Sony PS5,00:00:13,00:00:13,TR (Turkey)
Batuhan,2024-09-07 08:09:32,00:00:02,Autoplayed: user action: None; ,Lucifer: Season 3: The One with the Baby Carrot (Episode 2),,Apple iPhone 13,00:00:48,Not latest view,TR (Turkey)
Batuhan,2024-09-07 07:42:50,00:22:16,,"Lucifer: Season 3: They're Back, Aren't They? (Episode 1)",,Apple iPhone 13,00:43:25,00:43:25,TR (Turkey)
Batuhan,2024-09-07 07:04:17,00:20:31,,"Lucifer: Season 3: They're Back, Aren't They? (Episode 1)",,Apple iPhone 13,00:21:16,Not latest view,TR (Turkey)
Batuhan,2024-09-07 06:06:11,00:42:09,,"Lucifer: Season 2: The Good, The Bad and The Crispy (Episode 18)",,Apple iPhone 13,00:43:14,00:43:14,TR (Turkey)
Batuhan,2024-09-07 05:31:54,00:00:07,,"Lucifer: Season 2: The Good, The Bad and The Crispy (Episode 18)",,Apple iPhone 13,00:00:08,Not latest view,TR (Turkey)
Batuhan,2024-09-07 04:45:47,00:42:56,,Lucifer: Season 2: Sympathy for the Goddess (Episode 17),,Apple iPhone 13,00:42:47,00:42:47,TR (Turkey)
Batuhan,2024-09-07 04:01:00,00:43:59,,Lucifer: Season 2: God Johnson (Episode 16),,Apple iPhone 13,00:43:14,00:43:14,TR (Turkey)
Batuhan,2024-09-02 05:41:23,00:03:03,,Lucifer: Season 4 (Franchise Trailer),RECAP,Apple iPhone 13,00:03:03,00:03:03,TR (Turkey)
Batuhan,2024-09-01 23:19:38,00:36:55,,Damsel,,Sony PS5,00:36:55,00:36:55,TR (Turkey)
Batuhan,2024-09-01 23:19:27,00:00:09,Autoplayed: user action: None; ,Genre Specific Moment Clip 2: Damsel,HOOK,Sony PS5,00:00:09,00:00:09,TR (Turkey)
Batuhan,2024-09-01 23:19:15,00:00:10,Autoplayed: user action: None; ,Trailer: The School for Good and Evil,TRAILER,Sony PS5,00:00:10,00:00:10,TR (Turkey)
Batuhan,2024-09-01 23:19:02,00:00:08,Autoplayed: user action: None; ,Archer: Season 1 - CLM 2,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Batuhan,2024-09-01 23:18:01,00:00:45,Autoplayed: user action: None; ,Suits: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:45,Not latest view,TR (Turkey)
Batuhan,2024-09-01 02:38:55,00:00:10,Autoplayed: user action: None; ,Archer: Season 1: Killing Utne (Episode 4),,Sony PS5,00:00:10,00:00:10,TR (Turkey)
Batuhan,2024-09-01 02:19:22,00:19:31,Autoplayed: user action: User_Interaction; ,Archer: Season 1: Diversity Hire (Episode 3),,Sony PS5,00:19:54,00:19:54,TR (Turkey)
Batuhan,2024-09-01 01:58:34,00:20:47,Autoplayed: user action: User_Interaction; ,Archer: Season 1: Training Day (Episode 2),,Sony PS5,00:21:15,00:21:15,TR (Turkey)
Batuhan,2024-09-01 01:37:38,00:20:53,Autoplayed: user action: User_Interaction; ,Archer: Season 1: Pilot: Mole Hunt (Episode 1),,Sony PS5,00:21:17,00:21:17,TR (Turkey)
Batuhan,2024-09-01 01:36:52,00:00:17,Autoplayed: user action: None; ,Lucifer: Season 4 (Franchise Trailer),RECAP,Sony PS5,00:00:17,Not latest view,TR (Turkey)
Batuhan,2024-08-31 17:54:52,00:00:13,Autoplayed: user action: None; ,Archer: Season 1: Pilot: Mole Hunt (Episode 1),,Sony PS5,00:00:13,Not latest view,TR (Turkey)
